0,0
0.002,0.012566
0.004,0.02513
0.006,0.03769
0.008,0.050244
0.01,0.062791
0.012,0.075327
0.014,0.087851
0.016,0.10036
0.018,0.11286
0.02,0.12533
0.022,0.13779
0.024,0.15023
0.026,0.16264
0.028,0.17502
0.03,0.18738
0.032,0.19971
0.034,0.21201
0.036,0.22427
0.038,0.2365
0.04,0.24869
0.042,0.26084
0.044,0.27295
0.046,0.28502
0.048,0.29704
0.05,0.30902
0.052,0.32094
0.054,0.33282
0.056,0.34464
0.058,0.35641
0.06,0.36812
0.062,0.37978
0.064,0.39137
0.066,0.40291
0.068,0.41438
0.07,0.42578
0.072,0.43712
0.074,0.44838
0.076,0.45958
0.078,0.4707
0.08,0.48175
0.082,0.49273
0.084,0.50362
0.086,0.51444
0.088,0.52517
0.09,0.53583
0.092,0.54639
0.094,0.55688
0.096,0.56727
0.098,0.57757
0.1,0.58779
0.102,0.5979
0.104,0.60793
0.106,0.61786
0.108,0.62769
0.11,0.63742
0.112,0.64706
0.114,0.65659
0.116,0.66601
0.118,0.67533
0.12,0.68455
0.122,0.69365
0.124,0.70265
0.126,0.71154
0.128,0.72031
0.13,0.72897
0.132,0.73751
0.134,0.74594
0.136,0.75425
0.138,0.76244
0.14,0.77051
0.142,0.77846
0.144,0.78629
0.146,0.79399
0.148,0.80157
0.15,0.80902
0.152,0.81634
0.154,0.82353
0.156,0.8306
0.158,0.83753
0.16,0.84433
0.162,0.85099
0.164,0.85753
0.166,0.86392
0.168,0.87018
0.17,0.87631
0.172,0.88229
0.174,0.88814
0.176,0.89384
0.178,0.89941
0.18,0.90483
0.182,0.91011
0.184,0.91524
0.186,0.92023
0.188,0.92508
0.19,0.92978
0.192,0.93433
0.194,0.93873
0.196,0.94299
0.198,0.9471
0.2,0.95106
0.202,0.95486
0.204,0.95852
0.206,0.96203
0.208,0.96538
0.21,0.96858
0.212,0.97163
0.214,0.97453
0.216,0.97727
0.218,0.97986
0.22,0.98229
0.222,0.98456
0.224,0.98669
0.226,0.98865
0.228,0.99046
0.23,0.99211
0.232,0.99361
0.234,0.99495
0.236,0.99613
0.238,0.99716
0.24,0.99803
0.242,0.99874
0.244,0.99929
0.246,0.99968
0.248,0.99992
0.25,1
0.252,0.99992
0.254,0.99968
0.256,0.99929
0.258,0.99874
0.26,0.99803
0.262,0.99716
0.264,0.99613
0.266,0.99495
0.268,0.99361
